Journal,Started,ISSN,URL,Type,SSCI,REC,h5,IF,R2013,OP2P,DOAJ_LINK,2014_h5,NOTES
Meridian: A Middle School Computer Technologies Journal (MERIDIAN),,1097-9778,http://www.ncsu.edu/meridian/,Open,--,,,,61,,,,
Midwest Journal for Educational Communications and Technology,2007,1938-7709,http://www.wiu.edu/users/iaect/Journal.htm,Sub.,--,,,,x,,,,
Multicultural Educational & Technology Journal,2007,1750-497X,http://www.emeraldinsight.com/journal/metj,Sub.,--,,,,x,,,,
Multimedia & Internet@Schools,,1546-4636,http://www.mmischools.com,Sub.,--,,,,x,,,,
Multimedia Information & Technology,1973,1466-190X,http://www.cilip.org.uk/multimedia-information-and-technology-group/mmit-journal-0,Sub.,--,,,,x,,,,
New Media & Society,1999,1461-7315 ,http://nms.sagepub.com/,Sub.,Yes,,54,2.441,x,,,45,
Online Journal of Distance Learning Administration (OJDLA),1998,1556-3847,http://www.westga.edu/~distance/ojdla/,Open,--,Yes,-,,14,,http://doaj.org/toc/1556-3847,,
Online Learning Journal,,,http://onlinelearningconsortium.org/read/online-learning-journal/,Open,--,Yes,-,,(),,,,"Spring 2015: Formerly known as JALN, ""Online Learning"" merged with JOLT. OLC was ranked as #11 in the Perkins & Lowenthal survey and JALN was ranked #11."
"Open Learning: The Journal of Open, Distance and e-Learning",1985,0268-0513,http://www.tandfonline.com/copl,Sub.,--,,,,x,,,,
Open Praxis,,1369-9997,http://www.openpraxis.org/,Open,--,,,,27,,http://doaj.org/toc/1369-9997,,
Pakistan Journal of Education,1984,1818-3344,http://www.aiou.edu.pk/PakistanJournals.asp,Sub.,--,,,,x,,,,
Performance Improvement Quarterly,,0898-5952,http://www.ispi.org/content.aspx?id=154,Sub.,--,,,,x,,,,
Quarterly Review of Distance Education,2000,1528-3518,http://www.infoagepub.com/quarterly-review-of-distance-education.html,Sub.,--,,,,x,,,,
Radical Pedagogy,1998,1524-6345,http://www.radicalpedagogy.org/,Sub.,--,,,,x,,,,
ReCall,1989,0958-3440,http://journals.cambridge.org/rec,Sub.,Yes,,21,1.226,x,,,19,
Research in Learning Technology (ALT-J),1993,2156-7077,http://www.researchinlearningtechnology.net/,Open,--,Yes,,,20,,https://doaj.org/toc/2156-7077,,
Research in Science & Technological Education,1981,0263-5143,http://www.tandfonline.com/crst,Sub.,Yes,,--,0.194,x,,,,
Research Strategies,1980,0734-3310,http://www.sciencedirect.com/science/journal/07343310,Sub.,--,,,,x,,,,
"Review of Science, Mathematics and ICT Education (ReSMICTE)",,1792-3999,,Open,--,,,,69,,http://doaj.org/toc/1792-3999,,
Revista de Universidad y Sociedad del Conocimiento (RUSC),,1698-580X,http://rusc.uoc.edu/,Open,--,,,,67,,http://doaj.org/toc/1698-580X,,
Revue Internationale des Technologies en Pédagogie Universitaire (RITPU),,1708-7570,http://www.ritpu.org/?lang=en,Open,--,,,,73,,http://doaj.org/toc/1708-7570,,
School Library Media Research,,2165-1019,http://www.ala.org/aasl/slr,Sub.,--,,,,x,,,,
Social Science Computer Review,1983,0894-4393,http://ssc.sagepub.com,Sub.,Yes,,28,1.686,x,,,,
Spreadsheets in Education (eJSIE),,1448-6156,http://epublications.bond.edu.au/ejsie/,Open,--,,,,73,,http://doaj.org/toc/1448-6156,,
Studies in Media & Information Literacy Education (SIMILE),,1496-6603,http://utpjournals.metapress.com/content/120764/,Sub.,--,,,,x,,,,
Teaching English with Technology (TEwT),,1642-1027,http://www.tewtjournal.org/,Open,--,,,,58,,http://doaj.org/toc/1642-1027,,
Technical Communication Quarterly,,1542-7625,http://www.tandfonline.com/htcq,Sub.,--,,,,x,,,,
Technology and Engineering Teacher,1939,0746-3537,http://www.iteea.org/Publications/ttt.htm,Sub.,--,,,,x,,,,
Technology and Learning,1980,1053-6728,http://www.techlearning.com/,Sub.,--,,,,x,,,,
Technology Innovations in Statistics Education (TISE),,1933-4214,http://www.escholarship.org/uc/uclastat_cts_tise,Open,--,,,,75,,http://doaj.org/toc/1933-4214,,
"Technology, Humanities, Education, and Narrative (THEN Journal)",2005,,http://thenjournal.org,Open,--,,,,x,,,,
"Technology, Instruction, Cognition and Learning",1968,1540-0182,http://www.oldcitypublishing.com/journals/ticl-home/,Sub.,--,,,,x,,,,
"Technology, Knowledge and Learning",1996,1382-3892,,Sub.,--,,,,x,,,,
"Technology, Pedagogy and Education",1992,1475-939X,http://www.tandfonline.com/rtpe,Sub.,--,,,,x,,,,
TechTrends,,1559-7075,http://link.springer.com/journal/11528,Sub.,--,,23,,x,,,18,
The Journal of Educators Online (JEO),2004,1547-500X,http://www.thejeo.com/,Open,--,,,,44,,http://doaj.org/toc/1547-500X,,
THE Journal: Transforming Education through Technology (THE Journal),1974,0192-592X,http://thejournal.com/,Open,--,,-,,11,,,,
Themes in Science and Technology Education (THESTE),,1791-3721,http://earthlab.uoi.gr/theste,Open,--,,,,70,,http://doaj.org/toc/1791-3721,,
Turkish Online Journal of Distance Education (TOJDE),,1302-6488,http://tojde.anadolu.edu.tr/,Open,--,Yes,10,,16,,http://doaj.org/toc/1302-6488,,
Turkish Online Journal of Educational Technology (TOJET),2002,1303-6521,http://www.tojet.net/,Open,--,Yes,26,,15,,http://doaj.org/toc/1303-6521,23,
User Modeling and User-Adapted Interaction,1991,0924-1868,http://www.umuai.org/,Sub.,Yes,,23,2.224,x,,,,
Virtual University Journal,1998,1460-7441,http://www.imcassociation.edu/journals/journal.aspx?jid=6,Sub.,--,,,,x,,,,
World Journal on Educational Technology (WJET),,1309-0348,http://www.world-education-center.org/index.php/wjet,Open,--,,,,41,,http://doaj.org/toc/1309-0348,,
World Transactions on Engineering and Technology Education (archived),2002,1446-2257,http://trove.nla.gov.au/work/32853173,Sub.,--,,,,x,,,,
