Journal,Started,ISSN,URL,Type,SSCI,REC,h5,IF,R2013,OP2P,DOAJ_LINK,2014_h5,NOTES
Information Development,1985,1741-6469,http://idv.sagepub.com/,Sub.,Yes,,11,0.357,x,,,,
Information Processing & Management,1975,0306-4573,http://www.journals.elsevier.com/information-processing-and-management/,Sub.,Yes,,29,1.481,x,,,,
Information Research: An International Electronic Journal,1995,1368-1613,http://informationr.net/ir/,Open,Yes,,-,0.925,x,,https://doaj.org/toc/1368-1613,,
Information Systems Education Journal,2003,1545-679X,http://isedj.org/,Sub.,--,,,,x,,,,
Information Technologies and International Development,2003,1544-7529,http://itidjournal.org/itid,Sub.,--,,,,x,,,,
Information Technology and Disabilities,1994,1073-5127,http://itd.athenpro.org/,Sub.,--,,,,x,,,,
Information Technology and Libraries,1982,2163-5226,http://ejournals.bc.edu/ojs/index.php/ital,Sub.,Yes,,16,( ),x,,,,
Information Technology in Childhood Education Annual,,1522-8185,http://www.editlib.org/j/ITCE/,Sub.,--,,,,x,,,,
"Information Technology, Education and Society",2000,1037-616X,http://www.jamesnicholaspublishers.com.au/journals/ites/,Sub.,--,,,,x,,,,
"Information Technology, Learning and Performance Journal",1999,1535-1556,http://www.osra.org/journal.html,Sub.,--,,,,x,,,,
Informing Science: The International Journal of an Emerging Transdiscipline (InformingSciJ),1998,1547-9684,http://www.informingscience.us/icarus/journals/informingscij/,Open,--,,,,45,,http://doaj.org/toc/1547-9684,,
Innovate: Journal of Online Education,2004,1552-3233,http://www.editlib.org/j/ISSN-1552-3233/,z,--,,,,x,,,,
Innovation in Knowledge-Based & Intelligent Engineering Systems (Archived),,1327-2314 ,http://www.kesinternational.org/journal,Sub.,--,,,,x,,,,
Innovation Journal: The Public Sector Innovation Journal,,1715-3816,http://www.innovation.cc/,Sub.,--,,,,x,,,,
Innovations in Education and Teaching International (Print),1964,1470-3297,http://www.tandfonline.com/toc/riie20/current,Sub.,Yes,,20,0.8,x,,,,
Innovative Higher Education,,1573-1758,http://link.springer.com/journal/10755,Sub.,--,,,,x,,,,
Institute for S T E M Education and Research,2000,1557-5284,http://ojs.jstem.org/index.php?journal=JSTEM,Sub.,--,,,,x,,,,
"Institution of Engineering and Technology, The",1980,1751-8822,http://www.theiet.org/,Sub.,--,,,,x,,,,
Instructional Science,1972,1573-1952,http://link.springer.com/journal/11251,Sub.,Yes,,32,2.016,x,,,,
Interacting With Computers,,0953-5438,http://iwc.oxfordjournals.org/,Sub.,Yes,,31,1.365,x,,,,
Interaction Design and Architecture(s) (IxD&A),,1826-9745,http://www.mifav.uniroma2.it/inevent/events/idea2010,Open,--,,,,64,,http://doaj.org/toc/1826-9745,,
InterActions : UCLA Journal of Education and Information Studies (InterActions),,1548-3320,http://repositories.cdlib.org/gseis/interactions/,Open,--,,,,59,,http://doaj.org/toc/1548-3320,,
Interactive Educational Multimedia,,1576-4990,http://dialnet.unirioja.es/servlet/revista?codigo=5030,Sub.,--,,,,x,,,,
Interactive Learning Environments,1990,1049-4820,http://www.tandfonline.com/loi/nile20,Sub.,Yes,,25,1.032,x,,,23,
Interdisciplinary Journal of E-Learning and Learning Objects (IJELLO),,1552-2237,http://ijklo.org/,Open,--,,,,49,,http://doaj.org/toc/1552-2237,,
"Interdisciplinary Journal of Information, Knowledge and Management",2006,1555-1237,http://ijikm.org/,Sub.,--,,,,x,,,,
"International Journal for Technology in Mathematics Education, The",1994,1744-2710,http://www.researchinformation.co.uk/time.php,Sub.,--,,,,x,,,,
International Journal for the Scholarship of Teaching and Learning,,1550-6908,http://www.itdl.org/index.htm,Sub.,--,,,,x,,,,
International Journal of Artificial Intelligence in Education,1989,1560-4306,http://www.ijaied.org,Open,--,Yes,18,,x,,,19,
